"Performer","Album","Title","Score","Length","Deleted","Favorite"
"Audrey Hepburn, George Peppard","Henry Mancini: Breakfast At Tiffany's","Breakfast At Tiffany's","5","2:48","","Да"
"Avril Lavigne","Let Go","Sk8er Boi","5","3:24","","Да"
"B.B. King","Live In Cook County Jail","How Blue Can You Get?","0","5:12","",""
"B.B. King","Live In Cook County Jail","Worry, Worry, Worry","0","9:52","",""
"Baba Yaga","Secret Combination","Back in the USSR","5","3:16","","Да"
"Baby's Gang","Challenger","Challenger","0","5:17","",""
"Baccara","Discomania","Cara Mia","0","2:58","",""
"Baccara","Discomania","Sorry, I'm a Lady","0","3:37","",""
"Baccara","Discomania","Yes Sir, I Can Boogie","0","3:28","",""
"Bad Boys Blue","Hitcollection Vol. 1 - You're a Woman","You're A Woman","0","3:59","",""
"Baden Powell","The Girls From Ipanema: Best of Bossa Nova","Tristeza","0","3:16","",""
"Baghira","Ultra Lounge Edition, Vol.3","Underwater","0","5:24","",""
"Baha Men","10 Great Songs","Best Years Of Our Lives","0","2:57","",""
"Baha Men","Shrek","Best Years Of Our Lives","0","2:59","",""
"Bald'n Spikey","Oriental Club","Husan","0","3:06","",""
"Bananarama","The Greatest Hits Collection (Collector Edition)","Venus","5","3:48","","Да"
"Bandits","","Youve Never Heard Before","0","4:33","",""
"Bangles","The Best Of The Bangles","Walk Like an Egyptian","0","3:25","",""
"Basement Jaxx","The Singles","Do Your Thing","0","4:19","",""
"Beat Bronco Organ Trio","Roadtrip","Easy Baby","0","4:25","",""
"Beautiful World","In Existence (digitally remastered version)","Love Song","5","6:07","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Be-boppin' Shoo-woppin' Along","5","2:43","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Compilation","5","14:19","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","El Dorado (by Archie Thompson)","0","2:42","",""
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Elevator Of Love","0","2:57","",""
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Goodman's Surprise","5","2:25","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","No One Grooves Forever","5","3:12","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Santa's Workshop","5","2:39","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Suisse Chalet","5","3:34","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","The Operative","5","3:41","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","UNITY's Spy","5","2:59","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Untitled Track 9","5","2:42","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Void (by Red Delicious)","5","3:55","","Да"
"Bee Gees","Greatest","Stayin' Alive (From &quot;Saturday Night Fever&quot; Soundtrack)","5","4:45","","Да"
"Belinda Carlisle","The No. 1 Hits: 1988","Heaven Is a Place on Earth","0","4:07","",""
"Ben E. King","Don't Play That Song","Stand By Me","0","2:55","",""
"Benita Hill","Brigitte - Songs for Christmas","Santa Baby","0","3:29","",""
"Benny Goodman & his Orchestra","Play: Jazz Pioneers","Bill Bailey Won't You Please Come Home","5","1:50","","Да"
"Benny Goodman & his Orchestra","Play: Jazz Pioneers","Swanee River","5","3:17","","Да"
"Berlin","","Blink of an Eye (Vrenna remix)","0","4:43","",""
"Bernard Fèvre","Cosmos 2043","Central Way","5","2:23","","Да"
"Bert Kaempfert And His Orchestra","Dancing In Wonderland (Remastered)","There, I've Said It Again","5","2:34","","Да"
"Bert Kaempfert And His Orchestra","Dancing In Wonderland (Remastered)","Twilight Time","5","2:37","","Да"
"Bessie Smith","Play: Jazz Pioneers","Backwater Blues","5","3:16","","Да"
"Billy Joel","The Essential Billy Joel","A Matter of Trust","0","4:08","",""
"Billy May","Ultra Lounge: Vol. 16 Mondo Hollywood (Digital Version)","A Man And A Woman/Live For Life (Medley)","5","5:26","","Да"
"Billy May","Ultra Lounge: Vol. 16 Mondo Hollywood (Digital Version)","Girl Talk","0","2:50","",""
"Billy May","Ultra-Lounge / A Bachelor In Paris - Volume Ten","The Poor People Of Paris (Jean's Song) (Instrumental) (1996 Digital Remaster)","5","4:44","","Да"
"Billy May","Ultra-Lounge / Bottoms Up! Volume Eighteen","Baby Elephant Walk/Java (Medley) (1997 Digital Remaster)","0","4:04","",""
"Billy May","Ultra-Lounge / Organs In Orbit Volume Eleven","Patricia (Perez Prado Version) (1996 Digital Remaster)","5","2:10","","Да"
"Billy May & His Orchestra","Ultra-Lounge / TV Town Volume Thirteen","The Odd Couple (Neal Hefti Version) (Digitally Remastered 96)","0","2:17","",""
"Billy Ocean","The Very Best Of Billy Ocean","Get Outta My Dreams, Get into My Car","0","4:44","",""
"Billy Preston","A Whole New Thing","Happy (Instrumental)","0","2:22","",""
"Billy Preston","Best Of","I Am Coming Through","5","2:03","","Да"
"Billy Preston","Best Of","Steady Getting' It","5","2:48","","Да"
"Billy Preston","Best Of","Stop in the Name of Love","5","2:23","","Да"
"Billy Preston","Best Of","The Octopus","5","2:11","","Да"
"Billy Preston","Funk Instrumentals","Billy's Bag","5","3:49","","Да"
"Billy Preston","The Best Of Billy Preston","Nothing From Nothing","0","2:39","",""
"Billy Preston","The Best Of Billy Preston","Struttin'","0","2:38","",""
"Billy Preston","The Best Of Billy Preston","Will It Go Round In Circles","0","3:50","",""
"Billy Preston","The Collection","If I Had A Hammer","5","2:34","","Да"
"Billy Preston","The Very Best of Billy Preston","My Girl","5","3:01","","Да"
"Billy Preston","Ultimate Collection","Space Race","5","3:28","","Да"
"Billy Strange","Classic Television Favorites","Main Title (From &quot;the Rockford Files&quot;) [Original Score]","0","2:04","",""
"Billy Strange","Great Western Themes","High Noon","5","2:33","","Да"
"Billy Strange","Secret Agent File","Man from Uncle","5","2:28","","Да"
"Billy Vaughn","Sail Along Silv'ry Moon","Wheels","5","2:05","","Да"
"Bisquit","Новогодняя Дискотека","Zoo Zoo","0","6:10","",""
"Bix Beiderbecke","Play: Jazz Pioneers","In a Mist","0","2:42","",""
"Blade The Soundtrack featuring New order","Blade The Soundtrack","Confusion (Pump Panel Reconstruction Mix)","5","10:12","","Да"
"Blondie","Greatest Hits: Blondie","Sunday Girl","5","3:15","","Да"
